fake,satirical,body
1,0,"Jovem virgem morre após passar 5 dias se masturbando sem parar. Jovem conhecido como ""CABAÇO"" morre após se masturbar 5 dias seguidos 
Uma tragédia chocou os moradores de Rubiataba, interior do Goiás. Um adolescente de 16 anos morreu após se masturbar 200 vezes sem parar. Segundo relatos, ele havia começado por volta da meia noite, e virou a noite toda fazendo as sequencias de masturbação sem dar intervalo. Terminava uma e começava outra. 
A mãe do menino já desconfiava de sua compulsividade por praticar o ato. “Era de hora em hora, igual o resultado da tele-sena, já tinha programado até de leva-lo ao médico.
 contou a mãe do jovem. 

Na escola onde o adolescente estudava, os colegas de classe fizeram uma homenagem. Uma de suas colegas, em conversa com a reportagem, disse que o garoto era tão compulsivo que sempre lhe pedia para ligar a Web-cam, pela internet, de madrugada. 

No computador do adolescente foi encontrado cerca de 17 milhões de vídeos eróticos e de 600 milhões de fotos."
1,0,"Alerta! A Globo Satânica está enganando a todos, Não é DESAFIO, é SATANISMO!. Não é DESAFIO, é SATANISMO
A nova ordem mundial, o olho que tudo vê

Um jogador faz um gol e comemora fazendo adoração ao diabo mostrando para o mundo que ele faz parte dos Illuminatis e a população acha que é um desafio ?

Esse parece ser o objetivo por trás de filmes de terror. Ao estabelecer o valor da fantasia de horror na indústria do entretenimento, a realidade do horror é diminuída e banalizado. Além disso, um compartimento seguro para horror é construída e todo o horror é atribuído lá.

Cadê a reportagem sobre os illuminatis ?
É um gesto usado pelos maçons e illuminatis, também conhecido como o olho de orus, olho que tudo vê, se retratam de forma oculta e satânica. 

“As pessoas LEIGAS acham que tudo que surge ou inventam nesse mundo é moda ou um novo desafio etc. Entenda nada nesse mundo que inventam é inocente.... Vejamos a nova moda ou desafio que falam por aí agora é fazer um sinal com os dedos tampando uns dos olhos, para decepção de muitos. Esse sinal é um dos símbolos do ocultismo dos illuminati, olhos de Hórus, olho que tudo vê, (olhos de satanás) um pouco da história, Hórus é um dos deuses da mitologia egípcia ele era adorado no egito antigo, na verdade Hórus e um demônio que o povo egípcio do antigo egito adoravam...

Esse símbolo é um de muitos dos illuminatis + maçonaria + satanistas esses adoradores do diabo. Você fazendo esse símbolo que aparentemente parecer ser inocente mais que na verdade não é, você está trazendo maldição para sua vida... Não caia na propaganda mentirosa do diabo, compartilhar ae! Pois a Verdade Liberta. ""Dessa brincadeira eu quero é distância

Vigiar ( ficar atento ) 

e orar ( uma forma ativa de vigiar )
Quando oramos colocamos as nossas vidas diante de Deus, para sermos guiadas por Ele."
1,0,"Vila na Itália oferece 2 mil euros para pessoas se mudarem para lá. A ação deve entrar em prática dentro de dois meses e os interessados deverão ler atentamente as regras antes da mudança. Mais de 150 pessoas demonstraram interesse

A pequena vila de Bormida, na região da Liguria, Itália, tem apenas 394 habitantes, mas o atual prefeito da cidade quer aumentar essa população. Para isso, ele vai oferecer 2 mil euros (cerca de R$ 7 mil) para quem quiser se mudar para lá.

Além disso, as pessoas que se mudarem ainda vão pagar apenas 50 euros mensais (R$ 175) para alugar casas de três quartos. A proposta foi divulgada em alguns jornais locais e o próprio prefeito, Danele Galliano, confirmou a novidade via Facebook. Com a proposta, ele espera impedir que o local vire uma 'cidade fantasma'.

Galliano disse que a ação deve entrar em prática daqui a dois meses, e que ""os interessados terão de ler atentamente as regras"". Ele contou que ainda tem que apresentar a proposta ao Conselho da cidade para definir ""todos os passos necessários"" antes de ""tornar a ideia executável"".

Nos comentários, muitas pessoas se mostraram interessadas pela ideia. ""Oi, vivo na Espanha com meu esposo e duas filhas, estou interessada em viver em Bormida com minha família, queria saber os requisitos que devo cumprir.
 comentou uma mulher. Uma das postagens já possui mais de 150 interessados, de diversos países, como Estados Unidos, Costa Rica, Espanha, Irlanda, Inglaterra e também moradores de outras cidades da Itália.

Ainda não foram divulgadas mais informações sobre os requisitos e como os interessados devem proceder."
1,0,"Fátima Bernardes faz surpresa e reforma casa da família de Ladrão morto pela Mãe-PM. Fátima Bernardes é, sem dúvida alguma, uma das maiores jornalistas e apresentadoras da Televisão brasileira, mas seu programa matinal exibido pela Globo na última  quarta-feira causou muita polêmica nas redes sociais.

O programa 'Encontro com Fátima Bernardes' de quarta-feira fez com que o apresentadora fosse líder de audiência, mas também lhe rendeu críticas e até mesmo uma “polêmica” nas redes sociais. Tudo isso porque a apresentadora solidarizou-se, e resolveu ajudar a família do ladrão morto pela PM-MÃE no último sábado (12), na porta de uma escola em Suzano-Sp.

De acordo com o programa Encontro com Fátima Bernardes, a homenagem foi feita para demonstrar que o jovem morto foi apenas uma vítima do sistema, da sociedade, capitalista, preconceituosa, e sem amor e porque era negro sendo assassinado por uma loira rica, e que o jovem não teve chance na vida.

Logo a apresentadora conseguiu uma reforma para a casa da família do jovem morto avaliada em 200,00 mil reais, além de todos os móveis e mobília da casa da família também foram trocada por novos, e ainda 2 anos de cesta básicas no valor de 1,200 reais mês..

""Vocês não precisa chorar, nem pedir desculpas, nem estar arrependido, pois eu entendo o que vocês estão passando, eu também sou mulher e sou mãe, e sei muito bem tudo o que vocês estão passando. recebam nossas homenagens.""  disse a apresentadora emocionada a mãe do ladrão morto pela PM.

Muitos condenaram a ideia pregada pelo programa, e o fato de estranhos palpitarem a decisão em ajudar a família do ladrão morto. Os comentários foram os mais diversos."
1,0,"Medico do Sus faz Alerta de Surto Absurdo de conjuntivite Viral nível 3. A postagem foi feita no WhatsApp e Web e alerta para uma nova bactéria da conjuntivite Viral nível 3. Segundo informações esta bactéria não é possível tratamento. Segue a carta enviada pelo medco do SUS.

ALERTA, REPASSEM URGENTE*
Pessoal, sou medico do SUS e trabalho no H G de Belém - PA, e estou mandando essa mensagem para vocês pra alertar a todos sobre uma bactéria muito perigosa que esta se espalhando rapidamente! Trata-se de uma Bactéria de um Surto Absurdo de conjuntivite Viral nivel 3 e sem tratamento até o momento.
Dentro desses próximos 3 meses, vocês verão um Surto Absurdo de conjuntivite Viral, Bacteriana , e até complicações graves!!! Preparemse, Higiene a todos lugares e momentos!!
*LAVE, SEQUE, ÁLCOOL. LAVE, SEQUE, ÁLCOOL. LAVE, SEQUE, ÁLCOOL. LAVE, SEQUE, ÁLCOOL* Surto Fortíssimo Conjuntivite na América do Sul !!! Lavem as mãos e use álcool, a todo momento!!!
Saiu de casa, evite pegar no rosto e coçar os olhos. Evite pegar nos cabelos. Higienize a bolsa, Chaves , carro, motocicleta, capacete. Higienize a maçaneta das portas, e torneiras. Não use medicações( colírios) antigas Não use medicações (colírios) de outras pessoas NÃO FAÇA AUTOMEDICAÇÃO!! Usar álcool gel a todo momento, leve um vidro pequeno consigo. Álcool a todo momento e lavar as mãos e braços.
INFELIZMENTE A Secretaria de Estado da Saúde abafou o caso pois estão sem verbas para tratamento em massa! e não se manifestou e por isso estou enviado esta mensagem para que vocês repassem ta.
Esta bactéria pode ter sido criada em laboratório e pode matar a pessoa em poucos dias.

Por favor, repassem esta mensagem urgente!"
1,0,"Cantor Pabllo Vittar ameça deixar o Brasil caso Bolsonaro seja eleito em 2018. A eleição presidencial de 2018 já está gerando grande repercussão. E um dos candidatos mais fortes para ganhar,  é o deputado federal Jair Bolsonaro (PSC-RJ). O deputado tem muito apoio popular, apesar de alguns grupos temerem sua candidatura.

O crescimento da popularidade de Jair Bolsonaro não agrada nenhum pouco o público LGBT, isso motivou o cantor de drag queen Pabllo Vittar fazer uma forte declaração e polêmica em seu Twitter com o intuito de boicota a participação de Jair Bolsonaro nas eleições. O cantor e compositor postou a seguinte mensagem:

 

“Se Bolsonaro ganhar em 2018, eu declaro toda a minha carreira encerrada no Brasil. Não tem como viver no mesmo país que esse homem!”

A declaração teve muito impacto nas redes sociais e viralizou, qual sua opinião sobre essa polêmica? Compartilhe com seus amigos."
1,0,"MST promete guerra civil em caso de prisão de Lula. À medida que cresce a força de Lula no seio do eleitorado brasileiro cresce, também, a perseguição movida contra ele pela Operação Lava-Jato e pela mídia golpista. 

Os seus perseguidores, que perderam a vergonha e os escrúpulos nessa cruzada insana destinada a tirá-lo de circulação, não se conformam por não terem encontrado, em mais de dois anos de investigações, nada que pudesse incriminá-lo e, por isso, agarram-se a qualquer coisa, como pedalinhos, canoa de lata e até recibos de aluguel para justificar a sua condenação e prisão.

Estão desesperados porque a operação executada para destruí-lo, com a decisiva participação de parte do Judiciário, do Ministério público, da Policia Federal e da mídia não produziu os efeitos desejados e ele continua em ascensão, conforme atestam as pesquisas de intenção de votos. O povo, na verdade, que o apontou como o melhor presidente deste país nos últimos tempos, já reconheceu que ele é vítima de perseguição e, portanto, nada mais do que fizerem ou disserem contra ele terá crédito.

Essa história dos recibos de aluguel de um apartamento vizinho ao de Lula, em São Bernardo do Campo, é o mais novo capítulo da perseguição, onde Sergio Moro parece muito mais advogado de acusação do que propriamente juiz. O magistrado de Curitiba, aliás, habituado a não ser contestado em suas ações – já são conhecidas suas crises de autoridade quando chega a gritar com os advogados de defesa do líder petista – não está preocupado com o que possam pensar do seu comportamento na condução do processo contra o ex-presidente operário.

Até hoje intocável, com as costas quentes da Globo, ele segue ignorando alguns pleitos da defesa e tomando decisões criticadas por juristas, sem importar-se com as repercussões nas redes sociais, porque a mídia, que o transformou em celebridade, não divulga nada que possa prejudicar a sua imagem. Um dos magistrados que atuou na Operação Mãos Limpas, da Itália, onde Moro se inspirou para a criação da Operação Lava-Jato, Gherardo Colombo, disse que lá em seu país o juiz de Curitiba não faria o que faz aqui com Lula."
1,0,"Brasileiro que vendeu tudo para ir a Rússia torcer pela seleção Brasileira pede ajuda para voltar para casa. SE TA RUIM PRA VOCÊ QUE SE ILUDIU COM A SELEÇÃO, IMAGINE PARA ESSE RAPAZ QUE VENDEU CASA E O CARRO PRA IR Á RÚSSIA TORCER PELO BRASIL, PERDEU O EMPREGO E FOI ABANDONADO PELA ESPOSA E AGORA PEDE AJUDA PRA VOLTAR PARA CASA!!

Após a eliminação do Brasil na Copa do mundo, Mineiro que perdeu emprego, vendeu a casa e o carro para ir a Rússia torcer pela seleção brasileira pede doações para voltar para casa!
Alem de desempregado, sem dinheiro para pagar passagem de volta, Roberto também foi informado que sua esposa que ficou no Brasil, fugiu com o amante e deixou os 3 filhos!! “Fiz a maior besteira da minha vida, vendi tudo que eu tinha pra vim torcer por esse seleção fraca, perdi meu emprego, deixei minha mulher no Brasil e ela fugiu com outro cara, agora só quero voltar para casa e recomeçar tudo de novo, peço a Deus que as pessoas me ajudem.
 disse Roberto."
1,0,"SE FERROU! Homem tenta estuprar porca e é morto por 5 porcos macho!!. Segundo a Polícia Civil, o corpo do homem estava dilacerado e alguns membros foram arrancados pelos animais. O delegado que cuida do caso disse que as provas indicam que ele foi morto pelos porcos. O caseiro estava nú, o que chamou atenção da polícia, é que J.R.N. estava com a cueca intacta abaixada em um dos pés, sendo que um dos ferimentos no órgão genital não atingiu a roupa intima, indicando possivelmente que ele estava na tentativa ou na consumação do ato de zoofilia, sendo que parte do seu órgão genital foi arrancada.
Como apenas a cueca foi encontrada junto ao corpo e não estava rasgada. Isso leva a crer que no momento em que sofreu ataque dos animais, estava nu e tentava estuprar o animal amarado.

Outo fato que chamou a atenção da polícia é que as roupas do caseiro estavam na casa onde a vítima vivia. A polícia também encontrou bebida alcoólica e informou que o homem ingeriu álcool antes de entrar no chiqueiro, e um pacote de camisinha aberta, onde faltava um preservativo.

O caseiro trabalhava na chácara há muitos anos. A fazenda está localizada a 22 km da cidade, próximo ao Distrito de Ana Terra. Conforme o boletim de ocorrência da Polícia Militar, o corpo do caseiro J.R.N.
 de 52 anos, foi encontrado pelo proprietário da fazenda, que nesta manhã resolveu levar outro funcionário a propriedade, ao chegar no local deparou com a cena inusitada, o funcionário estava sem vida e encontrava se nú, com a cueca em um dos pés, parte do seu órgão genital foi decapitado, bem como outras partes do corpo. No chiqueiro havia uma porca amarrada e mais dois porcos.

O corpo foi encaminhado para Instituto Médico Legal da Cidade de Sorriso-MT. No laudo do IML da cidade de Sorriso-MT, o médico legista concluiu que o caseiro teve uma hemorragia intracerebral, vindo a estourar uma veia na região da cabeça.

Com apresentação do laudo, a polícia descarta a hipótese de crime contra a vida, confirmando indícios deixados anteriormente no local, para a polícia ficou evidente que a vítima foi voluntariamente ao local com intenção de abusar sexualmente do animal e durante algum tempo, algo deu errado, isso provocou sua morte, onde logo após, foi dilacerado pelos porcos.

Alguns especialista do assunto diz que, a hemorragia intracerebral pode ser provocada por consumo excessivo de bebidas alcoólicas associa-se a grande aumento na incidência de AVC. O consumo rotineiro de álcool leva a hipertensão e níveis inadequados de colesterol no sangue um grande fatores de risco."
1,0,"Atenção: Desafio das princesas da Disney contra o câncer é um ritual demoníaco. A brincadeira de colocar uma imagem de uma princesa da Disney no perfil ou no status para “lutar” contra o câncer infantil e repassar uma mensagem é na verdade um ritual satânico, cada princesa representa um demônio!
A mensagem a ser repassada era a seguinte: “Desafio das princesas desafio vc colocar umas das fotos das princesas no seu perfil em apoio a luta contra o câncer infantil passe para seus contatos” com certeza você viu alguém fazendo o desafio!

Gente cuidado com as princesas que vocês receberam para colocar no perfil NÃO FAÇA ISSO! não coloque no seu perfil… Isso e um ritual demoníaco! o criador dessas bonecas fez um pacto com orixá em um ritual de magia negra. para conseguir o máximo de pessoas participando elas vem da da Disney e são consagrada a Lúcifer. NÃO SE ENGANEM, eles dizem que é para ajudar contra o câncer infantil. e ta virando uma febre todo mundo ta colocando no perfil.

Não é de hoje que ouvimos falar de toda a podridão que ronda os estúdios Disney e associados. Não faz muito tempo e as igrejas BATISTAS e organizações ligadas a este segmento cristão, empreenderam uma árdua luta para boicotar todo tipo de produto ou produção realizados pela Disney. Uma reação que já era de se esperar mediante o desagrado de tais evangélicos, como resposta a varias posições que a Disney vem tomando no decorrer dos últimos anos.

Em uma convenção em Dallas, os delegados votaram maciçamente a recomendação que as 40.613 igrejas boicotem os quiosques da Disney, incluindo seus filmes, parques temáticos, lojas e empresas afiliadas, como a rede de televisão ABC”.

Esta resposta tão enérgica por parte destes seguimentos evangélicos deve-se ao fato de todo o conglomerado Disney, incluindo estúdios, parques temáticos e empresas que respondem por esta “marca.
 estarem agora promovendo o homossexualismo, bruxaria, espiritismo e muitas outras formas de conduta desaprovadas perante a Bíblia e a fé cristã.

Não que a Disney em seus primórdios tenha tido uma origem louvável. O que não seria o caso. Mas o que estaria acontecendo creio eu, é que os grupos evangélicos em quase todo o mundo estariam se despertando para enxergar o perigo imenso que Disney representa.
Para explicar melhor este fato, vejamos um exemplo do que estamos falando;
Imagine que uma família cristã decide viajar até um dos parques temáticos da Disney para curtir suas tão esperadas ferias. As crianças estão eufóricas, pois vão ver seus heróis que acompanharam desde que eram muito pequenas! Os pais estão ansiosos para desfrutarem de um ambiente de diversão e descontração familiar, nos vários brinquedos e atrações que só estes parques oferecem! Porem quando lá chegam surpresa!!!

É dia dos Gays e Lésbicas na Disney!!!
Imaginemos agora os adoráveis personagens que nos acostumamos a assistir, vivendo grandes aventuras e confusões que emocionavam e divertiam a nós e a nossas crianças, agora vivendo um comportamento totalmente homossexual.
É exatamente isso que a Disney está promovendo descaradamente. Em 1996, os organizadores dos ‘Dias dos Gays e Lésbicas em Walt Disney World’ usaram um emblema mostrando o Mickey Mouse e o Pato Donald como dois companheiros ‘da gaiola’.Os organizadores do encontro retrataram num desenho animado Mickey e Donald , Minnie e Margarida como amantes homossexuais. A Disney apoiou fortemente este fato. Propagandas e formas de divulgação foram elaboradas, onde Mickey Mouse e Pato Donald convidavam jovens, crianças e adolescentes para conhecerem o empolgante e novo mundo do homossexualismo.

A Disney também anuncia em publicações voltadas para o público homossexual como a revista ‘Out’ e ajuda a subscrever fundos para o Grupo de Trabalho Nacional dos Homossexuais e Lésbicas. O presidente Michael Eisner pertence à diretoria de ‘Hollywood Apóia’, um grupo que conduz sessões de lavagem cerebral nas empresas sobre ‘sensibilidade à sodomia’.
Os estúdios Disney tem produzido muitos filmes que apóiam o homossexualismo, satanismo e outras condutas reprováveis. Se fossemos levantar evidencias a respeito dos produtos Disney, que os desqualificassem de entrarem em nossos lares, tenho certeza de que não precisaríamos ir muito longe para tal. Porem nosso interesse aqui é apenas mostrar o grau de nocividade contido nos desenhos animados da Disney."
